FullGeoName,YEAR,STATE_NAME,STATE_ABBREV,COUNTY_NAME,STATE_COUNTY_FIP_U,opioid_dispensing_rate,Opioid Dispensing Rate (per 100 persons)
"VA, King And Queen",2022,Virginia,VA,King and Queen County,51097,Data unavailable,Data unavailable
"VA, King And Queen",2023,Virginia,VA,King and Queen County,51097,Data unavailable,Data unavailable
"VA, Manassas Park City",2019,Virginia,VA,Manassas Park city,51685,Data unavailable,Data unavailable
"VA, Manassas Park City",2020,Virginia,VA,Manassas Park city,51685,Data unavailable,Data unavailable
"VA, Manassas Park City",2021,Virginia,VA,Manassas Park city,51685,Data unavailable,Data unavailable
"VA, Manassas Park City",2022,Virginia,VA,Manassas Park city,51685,Data unavailable,Data unavailable
"VA, Manassas Park City",2023,Virginia,VA,Manassas Park city,51685,Data unavailable,Data unavailable
"VA, Norton City",2019,Virginia,VA,Norton city,51720,569.1,>49.8
"VA, Norton City",2020,Virginia,VA,Norton city,51720,441,>49.8
"VA, Norton City",2023,Virginia,VA,Norton city,51720,403.9,>49.8
"VA, Salem City",2021,Virginia,VA,Salem city,51775,396.4,>49.8
"VA, Norton City",2021,Virginia,VA,Norton city,51720,390.7,>49.8
"VA, Salem City",2019,Virginia,VA,Salem city,51775,390.2,>49.8
"VA, Salem City",2022,Virginia,VA,Salem city,51775,379.3,>49.8
"VA, Salem City",2020,Virginia,VA,Salem city,51775,377.7,>49.8
"VA, Norton City",2022,Virginia,VA,Norton city,51720,374.9,>49.8
"VA, Martinsville City",2019,Virginia,VA,Martinsville city,51690,374.8,>49.8
"VA, Salem City",2023,Virginia,VA,Salem city,51775,342.2,>49.8
"VA, Martinsville City",2020,Virginia,VA,Martinsville city,51690,315.7,>49.8
"VA, Martinsville City",2021,Virginia,VA,Martinsville city,51690,302.4,>49.8
"VA, Winchester City",2023,Virginia,VA,Winchester city,51840,236,>49.8
"VA, Martinsville City",2022,Virginia,VA,Martinsville city,51690,234.3,>49.8
"VA, Fredericksburg City",2019,Virginia,VA,Fredericksburg city,51630,233.5,>49.8
"VA, Fredericksburg City",2020,Virginia,VA,Fredericksburg city,51630,232.7,>49.8
