Data Updated Date,Overdose ED Visit Year and Quarter,Overdose ED Visit Months,Overdose ED Visit Drug Type,Overdose ED Visit Patient Geography Level,Overdose ED Visit Patient Geography Name,Overdose ED Visit Patient FIPS,Combined Locality,Overdose ED Visit Count,Overdose ED Visit Count Quarterly Trend,"Overdose ED Visit Rate per 10,000 visits","Overdose ED Visit Rate per 10,000 visits Quarterly Trend"
5/10/2025,2025-Q1,"January, February, March",All Drug,State,Virginia,51,No,"3,824",▼ Decrease,38.1,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Heroin,State,Virginia,51,No,79,▼ Decrease,0.8,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Opioid,State,Virginia,51,No,"1,681",▼ Decrease,16.7,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",Stimulant,State,Virginia,51,No,208,► Stable,2.1,► Stable
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Accomack,51001,No,12,▼ Decrease,25.2,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Alexandria,51510,No,38,▲ Increase,34,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Amelia,51007,No,8,▲ Increase,37.6,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Amherst,51009,No,24,▼ Decrease,81.2,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Appomattox,51011,No,10,▲ Increase,67,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Arlington,51013,No,43,▼ Decrease,33,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Bath,51017,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Bedford,51019,No,30,▼ Decrease,41,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Bland,51021,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Botetourt,51023,No,15,▲ Increase,46.8,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Brunswick,51025,No,6,► Stable,23.7,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Buchanan,51027,No,19,▲ Increase,67.5,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Buckingham,51029,No,5,▼ Decrease,27,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Campbell,51031,No,22,▲ Increase,52.3,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Caroline,51033,No,17,▼ Decrease,34.4,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Carroll,51035,No,10,▼ Decrease,45.1,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Charles City,51036,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Charlotte,51037,No,6,► Stable,34.1,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Chesapeake,51550,No,88,▼ Decrease,32.6,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Clarke,51043,No,6,► Stable,42.3,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Craig,51045,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Culpeper,51047,No,27,▲ Increase,30.8,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Cumberland,51049,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Dickenson,51051,No,9,▲ Increase,40.3,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Dinwiddie,51053,No,8,► Stable,27.9,▲ Increase
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Essex,51057,No,*,*,*,*
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Fauquier,51061,No,11,▼ Decrease,15.2,▼ Decrease
5/10/2025,2025-Q1,"January, February, March",All Drug,Locality,Floyd,51063,No,5,▲ Increase,38.3,▲ Increase
